Month,Day,Hour,Minute,FT-3061-2,TT-3061-1,TT-3061-2,PT-3061-2,FT-3061-4,TT-3061-5,TT-3061-3,TT-3061-4,TT-3061-6,PT-3061-3 (old),LT-3061-2,FT-3061-3,FT-3062-1,cluster,color
10,22,4,45,71.8,54.0,39.9,-0.962,39.2,44.1,96.5,126.3,114.3,-0.781,77.5,96.6,31.5,3,C1
10,22,4,46,70.8,54.0,39.9,-0.963,41.0,44.1,96.4,126.0,113.9,-0.783,77.6,115.9,46.5,3,C1
10,22,4,47,70.3,54.0,39.8,-0.963,39.2,44.4,96.1,126.0,113.8,-0.773,77.9,110.5,30.5,3,C1
10,22,4,48,69.6,53.9,39.8,-0.961,38.7,44.5,95.9,125.8,113.7,-0.782,78.2,97.8,32.6,3,C1
10,22,4,49,69.8,53.9,39.8,-0.961,40.8,44.7,96.0,125.8,113.6,-0.779,78.3,118.3,28.7,3,C1
10,22,4,50,68.6,53.9,39.9,-0.961,39.6,44.7,95.9,125.6,113.6,-0.778,79.4,111.6,22.2,3,C1
10,22,4,51,69.2,54.0,39.9,-0.961,39.2,44.5,95.9,125.6,113.5,-0.779,79.5,97.6,30.9,3,C1
10,22,5,18,69.5,53.9,53.1,-0.959,54.2,96.1,95.8,121.9,111.0,-0.808,74.9,127.0,42.4,3,C1
10,22,5,19,69.0,53.8,50.2,-0.964,41.1,95.1,96.0,122.2,110.8,-0.819,73.8,107.5,38.5,3,C1
10,22,5,20,70.6,53.9,49.9,-0.967,39.0,95.5,96.2,122.4,110.9,-0.818,71.1,92.4,36.3,3,C1
10,22,5,26,89.2,54.0,41.6,-0.959,45.9,56.0,95.3,122.7,111.5,-0.801,67.1,95.5,37.2,3,C1
10,22,5,27,89.7,54.0,41.6,-0.958,41.4,52.5,95.2,123.0,111.6,-0.801,68.9,110.3,38.7,3,C1
10,22,5,28,91.3,54.0,41.7,-0.958,38.7,50.6,95.0,124.4,111.7,-0.799,69.9,124.7,36.8,3,C1
10,22,5,29,90.5,54.0,41.7,-0.957,40.7,49.3,94.8,124.8,111.6,-0.794,71.6,126.4,38.3,3,C1
10,22,5,30,90.1,53.9,41.8,-0.958,38.9,48.5,94.7,124.1,111.7,-0.793,72.7,115.4,33.0,3,C1
10,22,5,31,89.1,53.9,41.9,-0.958,41.1,47.8,94.7,122.9,111.6,-0.794,74.3,99.4,38.5,3,C1
10,22,5,32,77.9,53.8,41.6,-0.958,38.6,46.9,94.7,122.2,111.4,-0.795,75.8,97.6,36.5,3,C1
10,22,5,33,74.5,53.9,41.2,-0.96,39.6,46.1,94.6,122.0,111.2,-0.803,76.8,92.0,34.5,3,C1
10,22,5,34,76.4,53.9,40.9,-0.961,39.5,45.5,94.5,122.0,111.3,-0.802,77.3,111.2,38.8,3,C1
10,22,5,35,73.5,54.0,40.6,-0.961,39.4,45.0,94.4,121.8,111.1,-0.801,77.2,123.0,39.4,3,C1
10,22,5,36,75.5,53.9,40.4,-0.962,38.9,44.5,94.3,121.9,111.1,-0.806,77.4,125.5,40.5,3,C1
10,22,5,37,76.2,53.9,40.3,-0.963,39.8,44.2,94.1,121.8,111.2,-0.802,77.7,115.8,39.4,3,C1
10,22,5,38,70.6,53.9,40.2,-0.964,40.3,44.0,94.0,121.9,111.1,-0.803,77.6,99.6,34.1,3,C1
10,22,5,39,70.4,53.9,40.4,-0.962,39.8,44.1,94.0,121.8,111.1,-0.8,78.2,88.3,33.5,3,C1
10,22,5,40,69.8,53.8,40.7,-0.96,39.6,44.2,93.9,121.9,110.9,-0.8,79.0,100.8,34.5,3,C1
10,22,5,41,69.7,53.9,40.8,-0.959,39.6,44.3,93.7,122.4,110.8,-0.801,79.9,110.5,30.1,3,C1
10,22,5,42,71.2,53.9,41.0,-0.959,43.0,44.6,93.6,122.8,110.7,-0.802,80.3,120.8,30.3,3,C1
10,22,5,43,69.0,53.9,41.2,-0.957,40.8,44.7,93.5,123.3,110.6,-0.799,81.9,118.3,32.2,3,C1
10,22,5,45,72.7,53.8,41.4,-0.957,39.3,44.4,93.4,123.3,110.7,-0.788,82.4,113.2,35.3,3,C1
10,22,9,4,50.0,53.4,41.6,-0.961,56.0,71.4,94.7,115.6,108.2,-0.851,48.4,98.1,25.8,3,C1
10,22,9,5,50.3,53.4,41.3,-0.961,56.2,68.7,94.5,115.7,107.9,-0.85,47.0,93.2,28.5,3,C1
10,22,9,6,48.6,53.4,41.1,-0.961,55.8,66.8,94.4,115.7,107.6,-0.847,47.1,91.6,26.7,3,C1
10,22,9,7,49.9,53.4,41.1,-0.96,55.6,65.0,94.2,115.8,107.7,-0.842,47.0,86.6,28.5,3,C1
10,22,9,8,49.1,53.4,41.3,-0.959,52.9,62.6,94.1,115.9,107.9,-0.843,47.4,95.6,28.5,3,C1
10,22,9,9,50.5,53.4,41.4,-0.958,51.3,60.4,94.0,116.1,108.1,-0.844,47.8,91.6,28.4,3,C1
10,22,9,10,49.6,53.5,41.4,-0.957,50.2,59.5,94.0,116.2,108.3,-0.842,48.4,90.0,30.1,3,C1
10,22,9,11,49.3,53.4,41.6,-0.957,52.0,58.4,94.1,116.3,108.4,-0.841,49.7,103.6,27.8,3,C1
10,22,9,12,51.0,53.4,41.7,-0.956,49.5,57.5,94.1,116.4,108.7,-0.842,50.6,106.4,26.9,3,C1
10,22,9,13,49.4,53.5,41.6,-0.959,48.6,56.5,94.2,116.5,108.8,-0.844,51.2,116.4,33.9,3,C1
10,22,9,14,49.4,53.4,41.4,-0.961,47.4,56.2,94.3,116.6,109.0,-0.844,51.2,126.1,29.3,3,C1
10,22,9,15,51.1,53.5,41.4,-0.961,47.4,56.2,94.4,116.5,108.7,-0.848,50.2,124.9,30.9,3,C1
10,22,9,16,48.8,53.5,41.5,-0.963,50.0,56.6,94.3,116.4,108.8,-0.848,49.1,126.1,27.4,3,C1
10,22,9,17,51.2,53.5,41.5,-0.963,50.6,57.6,94.2,116.3,108.5,-0.847,47.8,130.3,24.7,3,C1
10,22,9,18,48.7,53.4,41.6,-0.962,53.5,58.4,94.1,116.2,108.2,-0.85,46.6,131.3,26.7,3,C1
10,22,9,19,51.2,53.4,41.6,-0.961,52.9,58.6,94.0,116.2,108.2,-0.847,46.0,120.0,31.1,3,C1
10,22,9,20,49.3,53.4,41.6,-0.96,52.2,58.5,93.8,116.2,108.3,-0.842,45.6,105.1,29.3,3,C1
10,22,9,21,50.9,53.4,41.7,-0.959,50.5,58.3,93.6,116.2,108.2,-0.845,46.2,100.4,29.7,3,C1
10,22,9,22,49.0,53.4,41.9,-0.958,52.7,58.0,93.5,116.3,108.3,-0.844,46.6,97.7,28.4,3,C1
10,22,9,23,51.2,53.4,42.1,-0.958,50.4,57.4,93.5,116.3,108.1,-0.841,47.2,91.0,27.9,3,C1
10,22,9,24,49.1,53.4,42.3,-0.957,49.9,56.8,93.5,116.3,108.3,-0.84,48.6,86.9,27.8,3,C1
10,22,9,25,48.8,53.5,42.5,-0.956,50.6,56.2,93.6,116.6,108.4,-0.842,49.4,87.8,27.2,3,C1
10,22,9,26,48.9,53.5,42.5,-0.96,50.0,55.6,93.7,116.7,108.5,-0.845,50.3,106.0,29.3,3,C1
10,22,9,27,48.6,53.4,42.4,-0.961,52.1,55.4,93.8,116.6,108.9,-0.844,50.3,113.3,32.4,3,C1
10,22,9,28,50.1,53.4,42.2,-0.961,48.8,55.6,93.9,116.5,108.9,-0.846,49.4,119.1,29.0,3,C1
10,22,9,29,51.0,53.5,42.1,-0.962,49.3,56.1,93.9,116.5,108.8,-0.847,48.5,123.1,27.9,3,C1
10,22,9,30,50.3,53.5,41.8,-0.962,50.0,57.0,93.9,116.5,108.6,-0.846,47.2,124.1,28.3,3,C1
10,22,9,31,48.8,53.4,41.8,-0.962,50.2,58.0,93.8,116.4,108.4,-0.848,46.1,125.2,28.9,3,C1
10,22,9,32,50.8,53.4,41.8,-0.962,48.8,58.5,93.7,116.4,108.4,-0.844,45.4,125.5,29.9,3,C1
10,22,9,33,49.9,53.4,41.8,-0.962,49.9,58.6,93.7,116.5,108.5,-0.842,45.2,131.0,32.5,3,C1
10,22,9,34,50.1,53.4,41.8,-0.959,49.4,58.5,93.5,116.5,108.3,-0.844,45.2,128.9,31.1,3,C1
10,22,9,35,50.5,53.4,41.9,-0.958,49.6,58.2,93.5,116.7,108.3,-0.841,45.3,116.3,33.0,3,C1
10,22,9,36,50.9,53.4,42.0,-0.957,48.9,57.6,93.5,116.6,108.3,-0.84,46.2,106.8,28.9,3,C1
10,22,9,37,49.5,53.4,42.2,-0.956,49.1,57.2,93.5,116.6,108.6,-0.842,47.1,110.0,28.8,3,C1
10,22,9,38,50.9,53.4,42.2,-0.959,49.7,56.7,93.6,116.7,108.7,-0.845,48.5,108.9,27.6,3,C1
10,22,9,39,49.1,53.4,42.1,-0.96,48.5,56.4,93.6,116.7,108.8,-0.844,48.8,91.5,27.3,3,C1
10,22,9,40,50.6,53.5,41.9,-0.961,48.4,56.6,93.7,116.5,108.8,-0.843,48.1,90.3,28.9,3,C1
10,22,9,41,49.7,53.5,41.8,-0.962,50.0,57.3,93.7,116.4,108.6,-0.846,46.7,87.0,26.6,3,C1
10,22,9,42,49.2,53.4,41.7,-0.963,49.9,58.0,93.7,116.3,108.6,-0.845,45.8,87.1,32.2,3,C1
10,22,9,43,51.3,53.5,41.8,-0.962,50.2,58.8,93.6,116.3,108.4,-0.847,45.0,101.2,29.4,3,C1
10,22,9,44,50.4,53.4,41.9,-0.961,50.1,59.6,93.5,116.3,108.4,-0.84,43.5,114.2,28.8,3,C1
10,22,9,45,49.3,53.4,41.8,-0.96,51.8,59.9,93.3,116.3,108.4,-0.84,43.2,116.6,23.9,3,C1
10,22,9,46,51.1,53.4,41.9,-0.959,50.9,59.8,93.3,116.2,108.4,-0.84,43.2,119.0,20.7,3,C1
10,22,9,47,49.6,53.4,42.0,-0.958,49.9,59.5,93.2,116.3,108.4,-0.84,43.9,121.9,30.5,3,C1
10,22,9,48,49.3,53.4,42.1,-0.958,49.1,59.0,93.1,116.3,108.3,-0.841,44.8,125.4,34.2,3,C1
10,22,9,49,49.7,53.3,42.3,-0.957,48.7,58.3,93.1,116.3,108.2,-0.836,45.0,126.9,30.1,3,C1
10,22,9,50,48.8,53.4,42.3,-0.957,49.9,57.4,93.1,116.4,108.1,-0.842,46.4,126.2,25.5,3,C1
10,22,9,51,48.5,53.5,42.4,-0.959,49.5,57.1,93.2,116.3,108.2,-0.839,47.7,127.9,28.7,3,C1
10,22,9,52,49.1,53.4,42.5,-0.96,48.9,57.0,93.3,116.3,108.1,-0.842,47.0,123.1,29.3,3,C1
10,22,9,53,49.0,53.4,42.3,-0.962,50.0,57.4,93.3,116.3,108.1,-0.844,46.2,110.2,28.5,3,C1
10,22,9,54,49.0,53.4,42.2,-0.963,49.3,58.2,93.3,116.2,108.2,-0.846,45.1,96.7,30.3,3,C1
10,22,9,55,50.0,53.3,42.1,-0.963,50.7,59.0,93.2,116.2,108.3,-0.842,44.1,85.7,26.5,3,C1
10,22,9,56,55.6,53.4,42.1,-0.961,50.8,59.9,93.2,116.2,108.1,-0.845,42.8,94.5,29.5,3,C1
10,22,9,57,56.3,53.4,41.9,-0.961,50.9,60.1,93.1,116.1,108.2,-0.844,42.5,97.9,29.4,3,C1
10,22,9,58,54.4,53.4,41.9,-0.96,50.6,60.1,93.0,116.2,108.3,-0.843,42.7,106.2,30.8,3,C1
10,22,9,59,53.7,53.4,42.0,-0.96,50.2,59.5,92.8,116.4,108.2,-0.839,42.6,92.8,27.0,3,C1
10,22,10,0,54.3,53.4,42.3,-0.959,52.1,59.3,92.8,116.5,108.3,-0.84,43.5,104.9,26.3,3,C1
10,22,10,1,54.9,53.3,42.5,-0.957,48.9,58.3,92.8,116.6,108.4,-0.839,44.5,115.9,27.4,3,C1
10,22,10,2,54.4,53.3,42.6,-0.957,49.2,57.6,92.8,116.6,108.7,-0.84,45.3,127.3,28.5,3,C1
10,22,10,3,54.3,53.2,42.6,-0.958,51.5,56.8,92.9,116.6,108.7,-0.837,46.3,130.6,27.2,3,C1
10,22,10,4,54.1,53.3,42.5,-0.959,49.6,56.4,93.0,116.6,108.7,-0.843,46.9,122.6,26.5,3,C1
10,22,10,5,53.6,53.4,42.4,-0.962,47.6,56.4,93.0,116.6,108.6,-0.841,46.0,129.2,27.9,3,C1
10,22,10,6,53.8,53.4,42.3,-0.962,52.8,56.9,93.0,116.5,108.5,-0.846,45.6,110.1,31.7,3,C1
10,22,10,7,53.8,53.4,42.0,-0.962,51.7,57.4,92.9,116.4,108.4,-0.841,45.1,101.0,26.9,3,C1
10,22,10,8,53.8,53.4,41.6,-0.962,52.3,58.0,92.9,116.4,108.4,-0.843,44.1,90.2,26.7,3,C1
