Month,Day,Hour,Minute,FT-3061-2,TT-3061-1,TT-3061-2,PT-3061-2,FT-3061-4,TT-3061-5,TT-3061-3,TT-3061-4,TT-3061-6,PT-3061-3 (old),LT-3061-2,FT-3061-3,FT-3062-1,cluster,color
11,2,9,46,58.9,53.6,42.5,-0.956,42.6,42.7,82.9,117.8,110.2,-0.838,47.6,115.7,51.2,3,C1
11,2,9,47,61.2,53.6,42.2,-0.96,41.9,42.5,83.2,117.8,110.4,-0.841,47.3,133.5,57.2,3,C1
11,2,9,48,60.4,53.5,41.7,-0.961,42.1,42.3,83.4,117.9,110.5,-0.836,45.5,107.4,52.5,3,C1
11,2,9,49,59.0,53.5,41.4,-0.961,38.7,42.1,83.7,117.9,110.5,-0.839,43.5,110.9,56.8,3,C1
11,2,9,50,58.8,53.5,41.1,-0.962,42.2,42.0,83.9,117.9,110.3,-0.84,40.6,130.2,55.8,3,C1
11,2,9,51,60.9,53.5,40.9,-0.963,40.4,41.8,84.1,118.0,110.4,-0.837,38.4,110.6,57.0,3,C1
11,2,9,52,61.3,53.6,40.8,-0.964,37.6,41.4,84.3,118.1,110.7,-0.836,36.2,115.5,55.7,3,C1
11,2,9,53,59.8,53.6,40.9,-0.963,39.3,41.5,84.6,118.2,111.1,-0.83,33.9,128.7,53.4,3,C1
11,2,9,54,58.4,53.6,41.3,-0.96,40.9,41.6,84.8,118.3,111.5,-0.829,33.0,94.3,56.3,3,C1
11,2,9,55,61.0,53.5,41.7,-0.958,38.6,42.0,85.1,118.5,112.0,-0.828,32.9,117.6,53.0,3,C1
11,2,9,56,59.0,53.5,42.2,-0.956,42.4,42.4,85.4,118.8,112.2,-0.826,33.2,124.4,53.0,3,C1
11,2,9,57,60.4,53.5,42.5,-0.956,38.3,42.7,85.7,118.9,112.2,-0.826,34.4,99.9,54.7,3,C1
11,2,9,58,60.8,53.5,42.4,-0.958,37.1,42.8,86.0,119.0,112.0,-0.83,35.4,121.3,55.2,3,C1
11,2,9,59,60.8,53.5,41.9,-0.959,37.2,42.6,86.3,118.9,111.9,-0.83,34.5,116.9,53.6,3,C1
11,2,10,0,60.8,53.5,41.6,-0.961,41.8,42.5,86.6,118.8,112.0,-0.831,33.5,101.1,54.6,3,C1
