Month,Day,Hour,Minute,FT-3061-2,TT-3061-1,TT-3061-2,PT-3061-2,FT-3061-4,TT-3061-5,TT-3061-3,TT-3061-4,TT-3061-6,PT-3061-3 (old),LT-3061-2,FT-3061-3,FT-3062-1,cluster,color
10,24,3,51,54.1,52.0,41.2,-0.957,53.3,41.6,88.5,111.2,103.6,-0.885,46.3,97.1,41.6,2,C1
10,24,3,52,53.7,52.0,40.9,-0.959,50.9,41.2,88.2,111.2,103.5,-0.884,45.9,131.1,42.0,2,C1
10,24,3,53,54.2,52.0,40.5,-0.96,51.3,40.8,87.7,111.1,103.4,-0.885,44.8,104.5,38.9,2,C1
10,24,3,54,53.5,52.0,40.2,-0.963,50.6,40.6,87.2,111.0,103.7,-0.885,43.0,106.4,43.5,2,C1
10,24,3,55,54.3,52.0,39.9,-0.964,51.8,40.4,86.9,111.0,103.9,-0.885,42.2,123.5,44.1,2,C1
10,24,3,56,53.3,52.0,39.7,-0.963,52.4,40.5,86.7,110.9,103.9,-0.883,41.1,116.7,39.9,2,C1
10,24,3,57,54.4,52.0,39.7,-0.963,53.0,40.3,86.5,111.0,104.0,-0.882,40.0,87.1,39.0,2,C1
10,24,3,58,54.2,52.0,39.9,-0.961,52.6,40.2,86.1,111.0,104.4,-0.885,40.6,128.9,40.7,2,C1
10,24,3,59,53.3,52.0,40.2,-0.96,53.4,40.2,85.9,111.0,104.3,-0.883,41.4,119.8,42.7,2,C1
10,24,4,0,54.6,52.0,40.5,-0.959,51.6,40.4,86.1,110.9,104.5,-0.884,42.8,85.6,36.8,2,C1
10,24,4,1,53.9,52.0,40.7,-0.959,50.3,40.8,86.2,110.8,104.2,-0.885,43.8,137.5,40.9,2,C1
10,24,4,2,53.9,52.0,40.9,-0.958,51.4,41.3,85.9,110.8,103.9,-0.884,45.6,108.3,35.6,2,C1
10,24,4,3,54.4,52.0,41.0,-0.958,51.8,41.2,85.5,110.9,103.7,-0.882,45.8,87.3,36.3,2,C1
10,24,4,4,53.1,52.0,41.1,-0.957,51.0,41.0,85.4,110.7,103.7,-0.883,46.5,131.7,37.1,2,C1
10,24,4,5,53.3,52.0,41.2,-0.957,52.9,40.8,85.5,110.7,103.4,-0.883,46.7,100.5,37.1,2,C1
10,24,4,6,54.6,52.0,41.3,-0.957,51.3,41.1,85.8,110.6,103.2,-0.884,47.3,107.0,40.2,2,C1
10,24,4,7,54.3,52.0,41.1,-0.959,51.6,41.4,86.4,110.6,103.3,-0.882,47.2,129.4,41.6,2,C1
10,24,4,8,54.2,52.0,40.9,-0.96,54.5,41.5,87.3,110.6,103.1,-0.884,45.7,98.1,37.2,2,C1
10,24,4,9,53.3,52.0,40.7,-0.959,50.0,41.3,87.4,110.7,103.2,-0.884,44.9,100.6,40.4,2,C1
10,24,4,10,53.7,52.0,40.5,-0.96,50.2,41.2,87.4,110.7,103.2,-0.883,44.0,128.3,36.9,2,C1
10,24,4,11,54.4,52.0,40.4,-0.961,52.0,41.0,87.2,110.8,103.3,-0.885,42.9,90.5,40.6,2,C1
10,24,4,12,53.9,52.0,40.2,-0.962,51.2,40.7,87.0,110.9,103.5,-0.885,42.7,118.7,35.7,2,C1
10,24,4,13,53.5,52.0,40.0,-0.962,51.4,40.3,86.6,110.8,103.6,-0.886,41.3,131.2,36.9,2,C1
10,24,4,14,53.2,52.0,39.8,-0.964,51.8,39.9,86.6,110.7,104.0,-0.883,41.0,91.1,40.1,2,C1
10,24,4,15,54.3,52.0,39.9,-0.963,52.4,40.1,87.0,110.7,104.4,-0.885,39.4,121.9,39.9,2,C1
10,24,4,16,54.2,52.0,40.3,-0.96,51.8,40.4,87.6,110.7,104.7,-0.883,39.4,132.1,34.8,2,C1
10,24,4,17,53.3,52.0,40.6,-0.959,52.3,40.6,88.1,110.8,105.0,-0.884,41.1,89.2,35.4,2,C1
10,24,4,18,54.3,52.0,40.9,-0.958,53.2,41.1,87.9,110.8,104.8,-0.882,42.7,113.6,37.6,2,C1
10,24,4,19,53.5,52.0,41.1,-0.957,51.4,41.6,87.5,110.9,104.4,-0.883,43.7,133.7,40.5,2,C1
10,24,4,20,54.3,52.0,41.3,-0.957,52.8,41.5,87.3,110.8,104.1,-0.882,44.4,93.8,36.9,2,C1
10,24,4,21,53.8,52.0,41.3,-0.957,48.7,41.4,86.8,110.8,103.8,-0.884,45.8,119.8,37.6,2,C1
10,24,4,22,53.8,52.0,41.0,-0.959,49.0,41.0,86.7,110.6,103.7,-0.887,46.0,131.1,34.9,2,C1
10,24,4,23,55.4,52.1,40.6,-0.96,51.3,40.6,86.3,110.7,103.6,-0.885,44.3,86.4,33.4,2,C1
10,24,4,24,54.8,52.0,40.4,-0.961,50.3,40.9,87.1,110.7,103.9,-0.885,42.8,122.8,36.6,2,C1
10,24,4,25,53.9,52.0,40.2,-0.962,53.7,40.9,87.7,110.6,104.1,-0.882,41.1,126.2,39.7,2,C1
10,24,4,26,52.9,52.1,40.1,-0.963,51.8,40.9,88.1,110.7,104.3,-0.886,39.8,95.2,36.6,2,C1
10,24,4,27,53.1,52.1,40.0,-0.963,53.2,40.9,88.0,110.8,104.7,-0.885,39.3,107.3,35.6,2,C1
10,24,4,28,54.0,52.1,40.2,-0.961,53.4,40.7,87.7,110.8,105.0,-0.885,38.9,133.1,33.9,2,C1
10,24,4,29,54.4,52.1,40.4,-0.96,53.9,40.5,87.3,110.8,105.0,-0.883,40.1,100.8,39.4,2,C1
10,24,4,30,54.6,52.0,40.7,-0.959,52.7,40.4,87.1,110.8,105.0,-0.883,41.2,86.9,40.6,2,C1
10,24,4,31,52.4,52.1,40.9,-0.958,52.8,40.5,87.2,110.8,104.8,-0.88,42.5,126.2,36.1,2,C1
10,24,4,32,53.8,52.1,41.1,-0.958,50.3,40.9,87.5,110.9,104.7,-0.885,42.9,115.8,39.5,2,C1
10,24,4,33,53.1,52.1,41.3,-0.958,51.1,41.2,87.8,110.8,104.6,-0.882,44.1,90.0,38.4,2,C1
10,24,4,34,53.4,52.0,41.1,-0.958,49.6,41.4,88.1,110.9,104.4,-0.883,43.9,119.3,34.1,2,C1
10,24,4,35,54.4,52.1,40.8,-0.96,51.2,41.5,88.0,111.0,104.4,-0.883,43.0,131.8,40.0,2,C1
10,24,4,36,53.7,52.0,40.5,-0.961,53.6,41.2,87.8,110.9,104.4,-0.884,42.2,91.0,35.5,2,C1
10,24,4,37,54.3,52.1,40.2,-0.962,50.6,40.8,87.6,110.9,104.5,-0.885,40.7,122.6,36.1,2,C1
10,24,4,38,53.8,52.1,39.9,-0.964,51.6,40.5,87.2,110.9,104.8,-0.884,39.8,134.3,36.4,2,C1
10,24,4,39,54.8,52.1,39.9,-0.963,52.5,40.4,86.9,110.9,104.8,-0.884,38.0,89.1,33.2,2,C1
10,24,4,40,53.7,52.1,40.2,-0.961,51.9,40.7,86.9,111.0,105.2,-0.882,38.0,119.1,39.4,2,C1
10,24,4,41,54.5,52.1,40.5,-0.96,52.7,40.8,87.0,111.0,105.1,-0.883,40.2,128.6,34.0,2,C1
10,24,4,42,53.3,52.1,40.8,-0.958,52.1,40.8,86.6,111.0,104.9,-0.883,41.4,82.9,36.2,2,C1
10,24,4,43,54.5,52.1,41.0,-0.957,54.2,40.7,86.3,110.9,104.8,-0.883,43.0,130.1,34.4,2,C1
10,24,4,44,53.4,52.1,41.2,-0.957,52.5,40.8,86.1,110.9,104.7,-0.886,44.5,114.5,38.1,2,C1
10,24,4,45,55.3,52.1,41.4,-0.957,50.5,41.1,86.5,110.8,104.4,-0.884,44.9,93.3,37.9,2,C1
10,24,4,46,53.9,52.1,41.3,-0.958,51.7,41.3,87.0,110.8,104.1,-0.884,45.2,129.1,37.1,2,C1
10,24,4,47,53.1,52.1,41.0,-0.959,52.0,41.5,87.5,110.8,104.0,-0.884,44.3,126.8,38.3,2,C1
10,24,4,48,53.2,52.1,40.8,-0.959,51.6,41.4,87.6,110.7,104.0,-0.885,42.9,90.5,42.8,2,C1
10,24,4,49,54.1,52.1,40.5,-0.961,52.5,41.2,87.5,110.8,104.1,-0.885,41.9,129.4,36.0,2,C1
10,24,4,50,54.6,52.1,40.2,-0.962,50.9,40.7,87.3,110.7,104.2,-0.884,41.0,114.4,39.2,2,C1
10,24,4,51,54.0,52.1,39.9,-0.964,51.5,40.4,87.0,110.6,104.5,-0.884,40.0,90.1,39.1,2,C1
10,24,4,52,53.2,52.1,39.8,-0.964,52.4,40.1,86.6,110.6,104.7,-0.885,38.0,126.9,42.3,2,C1
10,24,4,53,54.5,52.1,40.0,-0.962,54.3,40.2,86.5,110.7,105.1,-0.883,38.2,130.2,38.5,2,C1
10,24,4,54,53.4,52.1,40.3,-0.961,53.2,40.3,86.5,110.6,105.3,-0.885,38.6,87.0,42.4,2,C1
10,24,4,55,60.2,52.1,40.5,-0.96,51.1,40.4,86.5,110.7,105.2,-0.885,40.4,117.2,35.1,2,C1
10,24,4,56,60.3,52.1,40.8,-0.959,50.5,40.5,86.3,110.7,105.1,-0.885,41.0,132.2,37.9,2,C1
10,24,4,57,59.2,52.1,41.0,-0.958,51.2,40.6,86.3,110.9,104.8,-0.885,42.4,90.0,39.3,2,C1
10,24,4,58,60.1,52.2,41.2,-0.958,51.4,40.8,86.5,110.8,104.8,-0.881,43.3,117.3,37.3,2,C1
10,24,4,59,60.3,52.2,41.5,-0.957,54.1,41.2,86.9,110.8,104.6,-0.882,43.1,131.4,37.5,2,C1
10,24,5,0,60.3,52.1,41.7,-0.956,50.9,41.5,87.4,110.8,104.5,-0.882,44.3,87.0,34.1,2,C1
10,24,5,1,60.3,52.2,41.4,-0.957,51.7,41.6,87.6,110.9,104.3,-0.884,45.2,127.2,38.2,2,C1
10,24,5,2,59.6,52.2,40.9,-0.96,50.5,41.4,87.5,110.9,104.1,-0.884,43.8,122.1,39.8,2,C1
10,24,5,3,59.4,52.2,40.4,-0.961,50.9,41.2,87.3,110.9,104.1,-0.883,42.1,91.0,37.9,2,C1
10,24,5,4,60.3,52.1,40.0,-0.963,51.7,40.6,87.0,110.8,104.5,-0.887,40.0,131.1,38.5,2,C1
10,24,5,5,60.3,52.1,39.6,-0.965,52.9,40.1,86.6,110.7,104.7,-0.887,38.5,110.9,39.2,2,C1
10,24,5,6,59.0,52.1,39.5,-0.964,52.6,40.0,86.1,110.8,105.1,-0.885,37.0,98.7,40.5,2,C1
10,24,5,7,60.6,52.1,39.7,-0.963,53.7,40.0,86.3,110.8,105.4,-0.883,36.7,130.1,42.7,2,C1
10,24,5,8,60.6,52.1,39.9,-0.962,52.8,40.3,86.1,110.9,105.4,-0.884,37.5,118.0,40.2,2,C1
10,24,5,9,59.1,52.1,40.2,-0.961,52.5,40.4,86.0,110.8,105.2,-0.883,38.3,89.9,42.8,2,C1
10,24,5,10,60.3,52.1,40.4,-0.961,52.4,40.4,85.7,110.8,105.2,-0.886,39.7,126.4,36.2,2,C1
10,24,5,11,59.7,52.1,40.7,-0.96,54.6,40.5,85.3,110.8,105.1,-0.888,41.7,133.2,40.0,2,C1
10,24,5,12,59.9,52.1,40.9,-0.958,51.4,40.5,85.2,110.8,104.8,-0.886,42.7,91.8,45.4,2,C1
10,24,5,13,60.7,52.1,41.1,-0.957,51.2,41.0,85.3,110.8,104.4,-0.884,43.6,122.2,43.7,2,C1
10,24,5,14,60.6,52.1,41.4,-0.956,52.2,41.4,85.4,110.8,104.1,-0.882,44.9,138.8,43.5,2,C1
10,24,5,15,60.6,52.1,41.7,-0.955,52.4,41.7,85.7,110.9,104.0,-0.883,45.5,90.1,40.5,2,C1
10,24,5,16,60.7,52.1,41.6,-0.957,51.7,41.9,85.7,110.8,103.9,-0.886,46.8,123.9,41.3,2,C1
10,24,5,17,60.6,52.1,41.2,-0.959,51.7,41.6,85.3,110.8,103.8,-0.886,46.0,132.7,39.4,2,C1
10,24,5,18,60.7,52.1,40.6,-0.961,50.4,41.4,85.0,110.8,103.9,-0.886,44.1,95.3,44.3,2,C1
10,24,5,19,60.8,52.1,40.2,-0.963,51.0,41.0,84.7,110.8,104.0,-0.886,41.9,113.0,41.0,2,C1
10,24,5,20,59.6,52.2,39.8,-0.964,47.8,40.5,84.5,110.6,104.3,-0.886,40.1,134.2,42.6,2,C1
10,24,5,21,60.1,52.2,39.5,-0.964,49.3,40.0,84.1,110.6,104.8,-0.888,37.9,99.1,47.9,2,C1
10,24,5,22,60.5,52.2,39.7,-0.964,48.6,40.2,84.0,110.6,105.0,-0.887,37.3,103.2,45.0,2,C1
10,24,5,23,60.7,52.3,39.9,-0.963,47.5,40.5,84.1,110.7,105.1,-0.886,37.8,131.3,40.1,2,C1
10,24,5,24,59.8,52.2,40.1,-0.963,48.1,40.4,83.9,110.7,105.1,-0.888,39.1,95.0,47.1,2,C1
10,24,5,25,59.2,52.2,40.4,-0.961,47.9,40.5,83.7,110.7,105.0,-0.884,40.2,125.4,48.1,2,C1
10,24,5,26,59.5,52.2,40.6,-0.96,47.8,40.7,83.4,110.5,105.0,-0.888,41.0,131.1,47.0,2,C1
10,24,5,27,60.8,52.1,40.9,-0.959,48.0,41.0,83.5,110.6,104.8,-0.886,42.1,94.8,44.5,2,C1
10,24,5,28,60.6,52.1,41.2,-0.957,47.7,41.1,83.6,110.5,104.5,-0.887,43.2,119.3,45.7,2,C1
